name	count	latitude	longitude
Chicago	6	41.8781136	-87.6297982
Dubai	2	25.2048493	55.2707828
Istanbul	8	41.0082376	28.9783589
London	10	51.5073509	-0.1277583
Los Angeles	9	34.0522342	-118.2436849
Miami	7	25.7616798	-80.1917902
Miami Beach	8	25.790654	-80.1300455
New York	14	40.7127837	-74.0059413
Venice	6	45.4408474	12.3155151
Bangkok	1	13.7563309	100.5017651
Berlin	10	52.5200066	13.404954
DÅ¸sseldorf	2	51.2277411	6.7734556
Hong Kong	7	22.396428	114.109497
Indianapolis	1	39.768403	-86.158068
Paris	9	48.856614	2.3522219
Singapore	2	1.352083	103.819836
Sydney	3	-33.8674869	151.2069902
Basel	2	47.5595986	7.5885761
Madrid	2	40.4167754	-3.7037902
Sao Paulo	2	-23.5505199	-46.6333094
Brussels	4	50.8503396	4.3517103
Milan	3	45.4654219	9.1859243
Vienna	2	48.2081743	16.3738189
Zurich	2	47.3768866	8.541694
Auckland	1	-36.8484597	174.7633315
Beijing	5	39.904211	116.407395
Seoul	1	37.566535	126.9779692
Tokyo	2	35.6894875	139.6917064
Amsterdam	2	52.3702157	4.8951679
Cologne	2	50.937531	6.9602786
Barcelona	1	41.3850639	2.1734035
Bogota	1	4.7109886	-74.072092
Bologna	1	44.494887	11.3426163
Dallas	2	32.7766642	-96.7969879
Detroit	3	42.331427	-83.0457538
Montreal	1	45.5016889	-73.567256
Munich	1	48.1351253	11.5819806
Naples	1	40.8517746	14.2681244
Rio de Janeiro	1	-22.9068467	-43.1728965
Rome	1	41.9027835	12.4963655
San Francisco	2	37.7749295	-122.4194155
Vancouver	1	49.2827291	-123.1207375
Antwerp	1	51.2194475	4.4024643
Cincinnati	1	39.1031182	-84.5120196
Melbourne	2	-37.814107	144.96328
Washington, DC	2	38.9071923	-77.0368707
Aspen	1	39.1910983	-106.8175387
Bordeaux	1	44.837789	-0.57918
Austin	1	30.267153	-97.7430608
Stanford	2	37.424106	-122.1660756
Adelaide	1	-34.9286212	138.5999594
Kassel	1	51.3127114	9.4797461
Shanghai	8	31.230416	121.473701
New Orleans	1	29.9510658	-90.0715323
Yokohama	1	35.4437078	139.6380256
Lisbon	1	38.7222524	-9.1393366
Sharjah	1	25.3223269	55.5136433
Taipei	1	25.0329694	121.5654177
Turin	1	45.070312	7.6868565
